x,y,long,short,radian,bool
455.25,510.5,1.0,7186.38,90.0,0.0
307.0,315.5,2.1213,3.0,0.0,0.0
30.24,318.791,4.712,7.508,31.937,0.0
2.1781,317.352,2.145,6.635,40.97,0.0
330.0,313.5,2.1213,3.0,0.0,0.0
322.0,314.5,2.2105,5.249,0.0,0.0
130.25,315.08,1.4365,5.837,28.79,0.0
308.0,313.0,2.1821,4.082,0.0,0.0
730.210,312.367,2.877,7.321,110.13,0.0
541.0,310.0,3.464,4.920,90.0,0.0
367.0,310.0,2.1821,4.082,90.0,0.0
309.0,310.5,2.1213,3.0,0.0,0.0
192.40,311.0,2.0946,3.4751,113.34,0.0
39.39,311.667,2.618,4.992,65.85,0.0
29.285,310.5,0.0,1.0,0.0,0.0
15.75,310.75,0.7071,5569.127441,45.0,0.0
331.0,310.5,2.2105,5.249,0.0,0.0
755.56,315.945,13.280,24.00,123.41,0.0
748.5,308.0,0.0,0.000,0.0,0.0
362.436,308.594,2.6049,5.25,113.65,0.0
179.06,310.240,1.556,4.501,20.45,0.0
71.5,308.5,0.0,1.0,0.0,0.0
727.0,306.5,0.0,1.0,0.0,0.0
714.333,306.666,1.738,3.0110,135.00,0.0
7.499,306.993,0.7002,14.99,134.871,0.0
48.48,305.499,0.9999,12.229,89.33,0.0
35.5,306.71,0.0,1.0,180.0,0.0
596.172,326.492,8.050,43.05,21.483,0.0
184.77,306.16,2.97,6.659,155.833,0.0
175.5,303.0,0.0,0.000,0.0,0.0
605.339,297.66,2.5162,3.5216,135.0,0.0
601.5,297.0,2.1213,3.0,90.0,0.0
592.5,297.0,2.1213,3.0,90.0,0.0
752.214,297.363,2.218,3.4529,171.86,0.0
604.280,295.288,3.118,8.266,93.39,0.0
332.0,301.5,2.1698,20.786,0.0,0.0
591.341,295.795,6.103,13.790,88.03,0.0
769.432,293.923,0.41857,6.867,93.24,0.0
265.5,295.0,0.0,1.0,180.0,0.0
241.06,294.0,1.5692,2.8453,41.75,0.0
108.167,291.565,6.266,12.420,0.0,0.0
569.5,292.0,0.0,0.000,0.0,0.0
588.931,314.64,26.522,73.63,28.118,0.0
467.270,283.71,29.90,78.28,23.984,0.0
509.5,284.49,0.05739,0.057430,90.0,0.0
499.5,283.5,0.0,1.0,0.0,0.0
524.761230,281.477,1.079,3.3876,86.66,0.0
362.795,294.756,5.057,29.87,21.627,0.0
535.025,281.028,4.456,6.464,44.76,0.0
370.0,278.5,2.1213,3.0,0.0,0.0
497.5,278.0,0.0,1.0,0.0,0.0
467.5,277.0,2.1213,3.0,90.0,0.0
540.0,275.5,0.0,1.0,0.0,0.0
501.0,275.0,0.0,0.000,0.0,0.0
470.563,275.594,2.6049,5.25,66.34,0.0
189.75,275.5,1.0,7704.976074,90.0,0.0
473.5,274.0,2.1213,3.0,90.0,0.0
453.762,277.53,8.176,21.464,90.73,0.0
111.49,275.0,0.998,32.222,0.0,0.0
460.0,274.5,2.2105,5.249,0.0,0.0
435.0,271.5,2.1213,3.0,0.0,0.0
410.80,272.19,2.4433,5.4782,135.0,0.0
373.55,273.530,2.6012,8.719,34.94,0.0
430.023,272.287,2.7351,10.530,129.438,0.0
415.0,270.5,2.403,4.535,54.54,0.0
328.32,282.132,3.034,29.438,163.81,0.0
421.897,270.899,6.007,10.86,118.54,0.0
401.875,269.009,3.12,4.5065,128.86,0.0
377.0,268.5,2.3927,6.50,40.97,0.0
425.63,227.64,55.50,56.863,61.96,1.0
357.224,66.88,1.62,3.6350,55.62,0.0
532.559,71.66,7.141,11.469,1.335,0.0
299.61,67.713,2.4250,4.806,176.18,0.0
169.480,68.97,5.684,9.247,133.39,0.0
407.089,66.68,6.28,7.286,95.09,0.0
664.5,63.0,2.1213,3.0,90.0,0.0
395.567871,64.803,4.514,8.369,80.07,0.0
719.265,74.63,11.279,31.457,52.086,0.0
307.04,64.17,5.158,6.851,67.40,0.0
174.99,63.001,0.00,0.005085,22.45,0.0
666.968,72.35,21.601,26.030,71.62,0.0
666.339,61.33,2.5162,3.521,45.000,0.0
740.0,59.0,1.632,2.8284,135.0,0.0
674.339,58.33,2.5162,3.521,45.000,0.0
418.805,61.19,3.3171,7.048,162.96,0.0
279.45,63.146,5.44,12.349,22.161,0.0
290.62,61.52,6.130,11.502,28.694,0.0
180.83,68.59,7.156,21.875,1.2127,0.0
534.5,56.12,2.307,3.528,90.0,0.0
268.311,56.45,4.137,6.588,114.91,0.0
371.0,56.0,2.2215,6.497,0.0,0.0
705.117,55.965,5.964,8.880,159.81,0.0
288.116,53.726,2.150,5.391,84.19,0.0
170.09,57.86,7.646,9.398,72.12,0.0
620.701,82.49,37.11,54.516,9.944,0.0
1008.632,606.832,104.15,124.99,83.26,1.0
804.962,556.735839,5.606,6.818,15.46,0.0
602.0,551.0,2.1821,4.082,90.0,0.0
1480.363,558.811,1.94,20.706,13.196,0.0
1037.660644,547.339,2.5162,3.5216,135.00,0.0
916.25,547.5,1.0,7704.976074,90.0,0.0
869.0,547.5,2.1213,3.0,0.0,0.0
989.5,545.0,2.1213,3.0,90.0,0.0
985.339,544.339,2.5162,3.5216,45.0,0.0
867.5,544.5,2.8929,4.979,158.61,0.0
991.0,542.5,2.1213,3.0,0.0,0.0
1018.5,541.0,2.1213,3.0,90.0,0.0
1011.5,541.0,2.1213,3.0,90.0,0.0
998.5,541.0,2.1213,3.0,90.0,0.0
499.69,568.870,52.93,119.21,94.56,0.0
1005.0,540.0,2.1821,4.082,90.0,0.0
626.5,537.0,2.1213,3.0,90.0,0.0
802.0,524.0,2.1821,4.082,90.0,0.0
802.508,523.817,3.5886,5.000,104.60,0.0
450.5,522.0,2.1213,3.0,90.0,0.0
747.0,521.5,2.1213,3.0,0.0,0.0
824.35,521.890,7.817,17.456,95.48,0.0
449.5,519.0,2.1213,3.0,90.0,0.0
1487.111,531.329,2.797,24.424,12.348,0.0
446.649,519.127,3.6138,4.829,114.482,0.0
460.5,516.0,2.1213,3.0,90.0,0.0
418.319,517.886,5.198,8.930,73.51,0.0
803.50,515.50,0.06891,0.0690,89.97,0.0
492.979,596.008,160.293,200.254,98.44,1.0
414.66,513.660,2.5162,3.5216,45.0,0.0
766.258,314.0,2.205,4.418,0.0,0.0
42.99,311.000,0.00,0.00,67.500,0.0
9.0,311.5,0.9319,1.239,73.15,0.0
411.0,310.0,2.1821,4.082,0.0,0.0
34.5,309.0,0.0,0.000,0.0,0.0
402.0,309.5,2.2105,5.249,0.0,0.0
412.0,307.5,2.1213,3.0,0.0,0.0
84.49,308.0,1.001,32.315,0.0,0.0
48.33,310.88,4.678,6.9811,166.82,0.0
452.0,305.0,0.0,0.000,0.0,0.0
413.0,304.5,2.1213,3.0,0.0,0.0
233.48,320.547,24.412,44.64,47.03,0.0
64.91,305.06,1.8746,7.210,63.39,0.0
585.292,305.934,7.956,9.249,84.48,0.0
760.361,305.40,4.2444,12.981,118.22,0.0
415.0,300.5,2.1213,3.0,0.0,0.0
